"Plot3"
"Time (sec)","Linear Displacement3 (mm)"
1.035,30.0000030782891
1.04,29.9999950244293
1.045,29.999999740945
1.05,30.0000063482782
1.055,30.0000948122392
1.06,30.0153505478232
1.065,30.0914598752081
1.07,30.2693053933837
1.075,30.5796149029845
1.08,31.0447681195588
1.085,31.678627666617
1.09,32.487744842815
1.095,33.471784780216
1.1,34.6243758710505
1.105,35.9337565954944
1.11,37.3835221348024
1.115,38.9533913373549
1.12,40.6198659692892
1.125,42.3569562461703
1.13,44.136914870313
1.135,45.9309017922404
1.14,47.7097538244486
1.145,49.4446771434233
1.15,51.1079630816849
1.155,52.6736989861369
1.16,54.1184943972033
1.165,55.4221943982091
1.17,56.5685795092777
1.175,57.5461152382809
1.18,58.3486133197743
1.185,58.9760003908252
1.19,59.4349663074859
1.195,59.7398309596706
1.2,59.9130440211202
1.205,59.9860523455935
1.21,59.9999657081957
1.215,60.0000449878515
1.22,60.0003735215186
1.225,59.999999172847
1.23,60.0000048951222
1.235,59.9999986143387
1.24,59.9999961594295
1.245,59.9999992002717
1.25,60.0000005331117
1.255,59.9999993434845
1.26,60.000002417493
1.265,59.9999994441677
1.26999999999999,60.000001267946
1.27499999999999,59.9999026385642
1.27999999999999,59.9720438566287
1.28499999999999,59.8286598347077
1.28999999999999,59.4857560724747
1.29499999999999,58.8849527736262
1.29999999999999,57.9979520067161
1.30499999999999,56.8312127215955
1.30999999999999,55.424936961492
1.31499999999999,53.8484240680631
1.31999999999999,52.190861883077
1.32499999999999,50.5520097537858
1.32999999999999,49.0289732378015
1.33499999999999,47.7049293808185
1.33999999999999,46.6390463023028
1.34499999999999,45.8594423224093
1.34999999999999,45.3596968548541
1.35499999999999,45.0994065028843
1.35999999999999,45.0093864693591
1.36499999999999,45.0000441155499
1.36999999999999,44.9999988583131
1.37499999999999,45.000004271927
1.37999999999999,44.999995290871
1.38499999999999,44.9999978384864
1.38999999999999,44.9999984066421
1.39499999999999,44.999999436324
1.39999999999999,45.0000014110171
1.40499999999999,44.999995066885
1.40999999999999,44.999996476774
1.41499999999999,45.000002082187
1.41999999999999,45.000003390461
1.42499999999999,44.9999811832543
1.42999999999999,44.9965246979257
1.43499999999999,44.9780850922829
1.43999999999999,44.9326631910485
1.44499999999999,44.8489654627958
1.44999999999999,44.716875607989
1.45499999999999,44.5277253091707
1.45999999999999,44.2746243438683
1.46499999999999,43.9525897010349
1.46999999999999,43.5587421901621
1.47499999999999,43.0923991185831
1.47999999999999,42.5550692438485
1.48499999999999,41.9504090831997
1.48999999999999,41.2841404507659
1.49499999999999,40.563843275777
1.49999999999999,39.7987466339206
1.50499999999999,38.9994330075747
1.50999999999999,38.1775335377793
1.51499999999999,37.345351794902
1.51999999999999,36.5155295023966
1.52499999999999,35.7006035116046
1.52999999999999,34.9126761705379
1.53499999999999,34.1630389310311
1.53999999999999,33.4618056108353
1.54499999999999,32.8176133490633
1.54999999999999,32.2373849877293
1.55499999999999,31.7260915063054
1.55999999999999,31.2865991389084
1.56499999999999,30.9196137709945
1.56999999999999,30.6236107312749
1.57499999999999,30.3949379137957
1.57999999999999,30.2278697656866
1.58499999999999,30.1148283432013
1.58999999999999,30.0465953693811
1.59499999999999,30.0125757213758
1.59999999999999,30.0011421602896
1.60499999999999,30.0000050016112
1.60999999999999,30.0000016530726
1.61499999999999,30.0000006629897
1.61999999999999,30.0000034520879
1.62499999999999,29.9999999175381
1.62999999999999,30.0000038490885
1.63499999999999,30.0000030782891
1.63999999999999,29.9999950244293
1.64499999999999,29.999999740945
1.64999999999999,30.0000063482778
1.65499999999999,30.0000948122392
1.65999999999999,30.0153505478231
1.66499999999999,30.0914598752078
1.66999999999999,30.269305393383
1.67499999999999,30.5796149029835
1.67999999999999,31.0447681195574
1.68499999999999,31.6786276666152
1.68999999999999,32.4877448428127
1.69499999999999,33.4717847802131
1.69999999999999,34.6243758710472
1.70499999999999,35.9337565954909
1.70999999999999,37.3835221347985
1.71499999999999,38.9533913373506
1.71999999999999,40.6198659692846
1.72499999999999,42.3569562461658
1.72999999999999,44.1369148703083
1.73499999999998,45.9309017922357
1.73999999999998,47.709753824444
1.74499999999998,49.4446771434187
1.74999999999998,51.1079630816807
1.75499999999998,52.6736989861331
1.75999999999998,54.1184943971997
1.76499999999998,55.4221943982058
1.76999999999998,56.5685795092749
1.77499999999998,57.5461152382786
1.77999999999998,58.3486133197724
1.78499999999998,58.9760003908238
1.78999999999998,59.4349663074849
1.79499999999998,59.73983095967
1.79999999999998,59.9130440211199
1.80499999999998,59.9860523455934
1.80999999999998,59.9999657081957
1.81499999999998,60.0000449878515
1.81999999999998,60.0003735215186
1.82499999999998,59.999999172847
1.82999999999998,60.0000048951222
1.83499999999998,59.9999986143387
1.83999999999998,59.9999961594295
1.84499999999998,59.9999992002717
1.84999999999998,60.0000005331117
1.85499999999998,59.9999993434845
1.85999999999998,60.000002417493
