,,
,,follower-1
,,Acceleration1 (mm/sec**2)
Frame,Time,Ref. Coordinate System: 
366,1.825,6.0082E+03
367,1.830,9.0528E+03
368,1.835,1.1017E+04
369,1.840,1.1609E+04
370,1.845,1.0877E+04
371,1.850,8.7336E+03
372,1.855,5.6427E+03
373,1.860,1.7697E+03
374,1.865,5.8302E+00
375,1.870,1.5393E+00
376,1.875,7.0206E-01
377,1.880,1.9271E-01
378,1.885,-2.2521E+00
379,1.890,1.4012E+00
380,1.895,1.7863E+00
381,1.900,-1.3340E+00
382,1.905,-2.9262E-01
383,1.910,6.4714E-01
384,1.915,-7.2008E-01
385,1.920,-1.5418E+00
386,1.925,-2.8061E+02
387,1.930,-7.8052E+02
388,1.935,-1.2548E+03
389,1.940,-1.6904E+03
390,1.945,-2.0772E+03
391,1.950,-2.3976E+03
392,1.955,-2.6499E+03
393,1.960,-2.8140E+03
394,1.965,-2.9035E+03
395,1.970,-2.8920E+03
396,1.975,-2.8011E+03
397,1.980,-2.6255E+03
398,1.985,-2.3666E+03
399,1.990,-2.0360E+03
400,1.995,-1.6474E+03
401,2.000,-1.2036E+03
